question,doc_id,doc_type
"Who was awarded the Player of the Match in the Switzerland and Colombia game on July 7, 2026?",match-96,match
Where did Switzerland play Colombia in the 2026 World Cup Round of 16?,match-96,match
"What was the final score of the New Zealand vs Egypt match on June 21, 2026?",match-38,match
Who scored for New Zealand in their match against Egypt at the 2026 World Cup?,match-38,match
When did Hamed Mahrous Mohamed Salah score his goal against New Zealand?,match-38,match
What was the final score of the Turkey vs Paraguay World Cup 2026 match?,match-32,match
Who scored in the 2nd minute of the Türkiye vs Paraguay game on June 19 2026?,match-32,match
How many red cards were issued during the Turkey Paraguay match at Levi's Stadium?,match-32,match
What was the final score of Argentina vs Austria in the 2026 World Cup?,match-43,match
"Who scored the goals in Argentina's match against Austria on June 22, 2026?",match-43,match
Where did Argentina play Austria in the 2026 World Cup group stage?,match-43,match
What was the final score of the Czechia vs South Africa match at the 2026 World Cup?,match-26,match
"Who scored for Czechia in their match against South Africa on June 18, 2026?",match-26,match
"Where was the Czechia vs South Africa World Cup match played, and who was the referee?",match-26,match
What was the final score of the Argentina vs Cabo Verde World Cup 2026 match?,match-87,match
"Who was named player of the match in Argentina's game against Cabo Verde on July 4th, 2026?",match-87,match
"Where did Argentina play Cabo Verde in the Round of 32 on July 4, 2026?",match-87,match
What was the final score of the USA vs Australia match in the 2026 World Cup group stage?,match-31,match
"Who scored the goals in the USA vs Australia game on June 19, 2026?",match-31,match
Where was the USA vs Australia World Cup match played?,match-31,match
Who scored the winning goal for England in the Norway vs England World Cup quarter-final?,match-99,match
"What was the final score of the match between Norway and England on July 11, 2026?",match-99,match
Did the Norway England World Cup quarter-final go to extra time and who was named player of the match?,match-99,match
What was the final score of the Croatia vs Ghana match at the 2026 World Cup?,match-72,match
"Who scored the winning goal for Croatia against Ghana on June 28, 2026?",match-72,match
How many shots on target did Ghana manage in their match against Croatia in Philadelphia?,match-72,match
What was the final score of the Belgium vs Senegal match in the 2026 World Cup Round of 32?,match-81,match
"Where did Belgium play Senegal on July 2, 2026, and who was the player of the match?",match-81,match
How many goals did Youri Tielemans score in the Belgium-Senegal Round of 32 match?,match-81,match
"What was the final score of the Paraguay vs France match on July 4, 2026?",match-89,match
Who scored the goal in the France Paraguay Round of 16 match at Philadelphia Stadium?,match-89,match
How many shots on target did France have against Paraguay in their 2026 World Cup knockout match?,match-89,match
"What was the final score of the Brazil vs Morocco match on June 13, 2026?",match-6,match
Who scored for Brazil in their match against Morocco at MetLife Stadium?,match-6,match
Which player was named player of the match in the Brazil and Morocco game in the 2026 World Cup group stage?,match-6,match
"What was the final score of the Bosnia and Herzegovina vs Qatar match on June 24, 2026?",match-52,match
Who scored the goals in the Bosnia and Herzegovina 3-1 Qatar World Cup match?,match-52,match
Where was the Bosnia and Herzegovina vs Qatar World Cup group stage match played?,match-52,match
Who won the FIFA World Cup 2026 final?,match-104,match
Where was the 2026 World Cup final played between Spain and Argentina?,match-104,match
Who was awarded player of the match in the 2026 World Cup final?,match-104,match
Who scored the goal in Ghana vs Panama at the 2026 World Cup?,match-23,match
What was the final score of the Ghana Panama match on June 17 2026?,match-23,match
Who was named player of the match in the Ghana Panama World Cup game?,match-23,match
"Who scored the goal in Mexico's match against South Korea on June 18, 2026?",match-25,match
What was the final score of the Mexico vs South Korea game at Guadalajara Stadium?,match-25,match
How many shots on target did South Korea have in their World Cup group stage match against Mexico?,match-25,match
What is Deroy Duarte's current club and market value?,player-768,player
How many goals did Deroy Duarte score in the tournament and what position does he play?,player-768,player
When was Deroy Duarte born and how tall is he?,player-768,player
What is Aissa Meshaal Barsham's current club and market value?,player-178,player
How many international caps does the Qatari goalkeeper Aissa Meshaal Barsham have?,player-178,player
Did Aissa Meshaal Barsham play in any matches at the 2026 World Cup?,player-178,player
Who is Hasan Maknazi Ahmed Maknazi and what position does he play?,player-899,player
How many minutes did Hasan Maknazi Ahmed Maknazi play in the 2026 FIFA World Cup?,player-899,player
What is Hasan Maknazi Ahmed Maknazi's market value and which club does he play for?,player-899,player
How many matches did Nelson Semedo play for Portugal in the World Cup?,player-1042,player
What is Nelson Semedo's height and market value?,player-1042,player
Which club does Nelson Semedo play for and how many caps does he have for Portugal?,player-1042,player
What is Bremer's club team and market value?,player-222,player
How tall is the Brazilian defender Bremer and when was he born?,player-222,player
How many international caps does Bremer have and what position does he play?,player-222,player
How many clean sheets did Matt Freese have at the 2026 World Cup?,player-336,player
What is Matt Freese's height and which club does he play for?,player-336,player
How many matches did the USA goalkeeper Matt Freese play in the World Cup tournament?,player-336,player
How many clean sheets did Lionel Nzau Mpasi have in the tournament?,player-1067,player
What club does the Congo DR goalkeeper Lionel Nzau Mpasi play for?,player-1067,player
How many saves did Lionel Nzau Mpasi make across his matches?,player-1067,player
How many matches did Waheeb Mohammed Abu Alshamat play in the World Cup tournament?,player-806,player
What is the market value of Waheeb Mohammed Abu Alshamat in euros?,player-806,player
What club does Waheeb Mohammed Abu Alshamat play for?,player-806,player
What is Evans Logan Costa's club and market value?,player-759,player
How many international caps does the Cabo Verde defender Evans Logan Costa have?,player-759,player
Did Evans Logan Costa play any matches at the World Cup tournament?,player-759,player
How many matches did Philipp Lienhart play for Austria?,player-1003,player
What club does Philipp Lienhart play for?,player-1003,player
What is Philipp Lienhart's height and market value?,player-1003,player
How many caps does Guesung Cho have for South Korea?,player-61,player
What is Guesung Cho's market value and which club does he play for?,player-61,player
How many minutes did Guesung Cho play in the World Cup tournament?,player-61,player
How many matches did Nahuel Molina play in the World Cup tournament?,player-962,player
What is Nahuel Molina's current club and his estimated market value?,player-962,player
Was Nahuel Molina ever sent off or booked during the World Cup tournament?,player-962,player
What is Lukáš Cerv's market value?,player-90,player
How many matches did Lukáš Cerv play for Czechia in the tournament?,player-90,player
What club does Lukáš Cerv play for?,player-90,player
How many goals did Youri Tielemans score in the World Cup 2026?,player-632,player
What is Youri Tielemans' current club and market value?,player-632,player
How many matches did Youri Tielemans play for Belgium and how many minutes did he get in the tournament?,player-632,player
How many matches did Inaki Williams play for Ghana in the World Cup 2026?,player-1215,player
What is Inaki Williams' height and birth date?,player-1215,player
How many goals and assists did Inaki Williams score playing as a forward for Ghana?,player-1215,player
How many matches did Mario Pasalic play in the World Cup tournament?,player-1185,player
What club does Mario Pasalic play for and what is his market value?,player-1185,player
Did Mario Pasalic receive any yellow or red cards in the World Cup?,player-1185,player
How many caps does Sergio Rochet have for Uruguay?,player-807,player
What is Sergio Rochet's height and birth date?,player-807,player
How many matches did Sergio Rochet play in the World Cup 2026 tournament?,player-807,player
How many goals did Mauricio from Paraguay score in the tournament?,player-349,player
What is Mauricio's current club and market value?,player-349,player
How many matches did the Paraguay midfielder Mauricio play in total minutes?,player-349,player
What position does Diego Alexander Gomez play?,player-346,player
How many matches did Diego Alexander Gomez start in the tournament?,player-346,player
Which club does Diego Alexander Gomez currently play for?,player-346,player
What is Mohammad Sami Ibrahim's club and market value?,player-1029,player
How many international caps does the Jordanian midfielder Mohammad Sami Ibrahim have?,player-1029,player
"Did Mohammad Sami Ibrahim play any matches in the World Cup tournament, and how many goals did he score?",player-1029,player
What is Riechedly Bazoer's height and birth date?,player-465,player
Which player from Curaçao played as a defender in the World Cup with 1 start?,player-465,player
How many international caps does Riechedly Bazoer have and what is his market value?,player-465,player
What are Brian Gutierrez's World Cup tournament stats including minutes played?,player-26,player
How many international caps does Brian Gutierrez have and what is his current market value?,player-26,player
What is Brian Gutierrez's birth date and what club does he play for?,player-26,player
How many matches did Yunus Akgun play in the tournament?,player-409,player
What is Yunus Akgun's current club and market value?,player-409,player
Did Yunus Akgun score any goals or receive any cards in the tournament?,player-409,player
How many goals did Eldor Shomurodov score in the World Cup tournament?,player-1106,player
What is Eldor Shomurodov's current market value and which club does he play for?,player-1106,player
How tall is Eldor Shomurodov and how many international caps does he have?,player-1106,player
How many international caps does Kevin Duvan Castano have?,player-1123,player
What club does Kevin Duvan Castano currently play for?,player-1123,player
How many minutes did Kevin Duvan Castano play in the World Cup 2026?,player-1123,player
How many matches did Franck Kessie play in the World Cup?,player-476,player
What is Franck Kessie's current club and market value?,player-476,player
Did Franck Kessie score any goals and what cards did he receive?,player-476,player
How many minutes did Nestor Muslera play at the World Cup 2026?,player-829,player
What is Nestor Muslera's club and market value?,player-829,player
How many saves did the Uruguay goalkeeper Muslera make in the tournament?,player-829,player
How many matches did Renato Veiga play for Portugal in the World Cup?,player-1053,player
What is Renato Veiga's market value and which club does he play for?,player-1053,player
How tall is Renato Veiga and when was he born?,player-1053,player
What is Francis De Vries' market value?,player-705,player
How many international caps does the New Zealand defender Francis De Vries have?,player-705,player
Did Francis De Vries receive any yellow or red cards in the World Cup tournament?,player-705,player
How many goals did Ivan Perisic score in the World Cup 2026?,player-1184,player
What club does Ivan Perisic play for and what is his market value?,player-1184,player
How many caps does Ivan Perisic have and what position does he play for Croatia?,player-1184,player
What is Michael Cornelis Woud's club and market value?,player-724,player
How tall is the New Zealand goalkeeper Michael Woud and when was he born?,player-724,player
How many international caps does Michael Woud have for New Zealand?,player-724,player
What is Leandro Paredes' market value?,player-941,player
How many caps does the Argentina midfielder Leandro Paredes have?,player-941,player
Did Leandro Paredes score any goals in the World Cup tournament?,player-941,player
What is Shuto Machino's market value?,player-552,player
How many international caps does Shuto Machino have?,player-552,player
Which club does Shuto Machino play for?,player-552,player
How many matches did Jorge Abdiel Gutierrez play in the World Cup?,player-1248,player
What is Jorge Gutierrez's height and birth date?,player-1248,player
Which club does Jorge Abdiel Gutierrez play for and what is his market value?,player-1248,player
What is Carlos Acevedo's height and birth date?,player-12,player
Which club does the Mexico goalkeeper Carlos Acevedo play for?,player-12,player
How many caps does Carlos Acevedo have for Mexico?,player-12,player
How many matches did Essa Nasser Aldawsari play in the World Cup?,player-786,player
What is Essa Aldawsari's club and market value?,player-786,player
Did Essa Aldawsari score any goals at the World Cup?,player-786,player
What is Bernardo Silva's current club and market value?,player-1050,player
How many matches did Bernardo Silva play in the World Cup tournament and how many minutes did he get?,player-1050,player
What are Bernardo Silva's physical stats including his height and date of birth?,player-1050,player
How many matches did Hannes Piterson Delcroix play in the tournament?,player-265,player
What is Hannes Piterson Delcroix's height and when was he born?,player-265,player
Which club does Hannes Piterson Delcroix play for and what is his market value?,player-265,player
What is Vitor Vitinha's market value?,player-1063,player
How many matches did Vitor Vitinha play in the tournament and how many did he start?,player-1063,player
How many international caps does the PSG midfielder Vitor Vitinha have?,player-1063,player
How many matches did Marc-Isreal Guehi play in the World Cup tournament?,player-1150,player
What is Marc-Isreal Guehi's current market value?,player-1150,player
Which English defender born in July 2000 plays for Manchester City?,player-1150,player
How many matches did Aleksandar Pavlovic play in the World Cup 2026?,player-421,player
What is Aleksandar Pavlovic's market value?,player-421,player
Which club does Aleksandar Pavlovic play for?,player-421,player
How many matches did Krepin Diatta play in the World Cup tournament?,player-873,player
What is Krepin Diatta's current club and market value?,player-873,player
How many international caps does the Senegal defender Krepin Diatta have?,player-873,player
How many caps does Liam Millar have for Canada?,player-115,player
What is Liam Millar's market value and which club does he play for?,player-115,player
How many minutes did Liam Millar play in the World Cup 2026 tournament?,player-115,player
What is Yassine Titraoui's current market value?,player-986,player
How many international caps does Yassine Titraoui have for Algeria?,player-986,player
Which club does midfielder Yassine Titraoui play for?,player-986,player
How many matches did Lamine Yamal play in the World Cup 2026?,player-747,player
What is Lamine Yamal's current market value?,player-747,player
How many goals did Lamine Yamal score in the tournament?,player-747,player
How many matches did Reece James play in the World Cup 2026?,player-1168,player
What is Reece James's market value and which club does he play for?,player-1168,player
How many international caps does Reece James have for England?,player-1168,player
What is Willer Emilio Ditta's market value?,player-1136,player
How tall is the Colombian defender Willer Emilio Ditta?,player-1136,player
How many international caps does Willer Emilio Ditta have for Colombia?,player-1136,player
How many matches did Ferdi Kadioglu play for Turkey in the 2026 World Cup?,player-410,player
What is Ferdi Kadioglu's market value and which club does he play for?,player-410,player
How tall is Ferdi Kadioglu and how many international caps does he have?,player-410,player
What position does Mahmoud Abutaha play for Jordan?,player-1034,player
How many appearances did Mahmoud Abutaha have in the World Cup and how many minutes did he play?,player-1034,player
What is Mahmoud Abutaha's market value and which club does he play for?,player-1034,player
How many matches did Ibrahima Konate play in the World Cup 2026?,player-847,player
What is Ibrahima Konate's height and market value?,player-847,player
Which club does Ibrahima Konate play for and how many international caps does he have?,player-847,player
How many matches did Nicolas Seiwald play in the World Cup?,player-994,player
What is Nicolas Seiwald's market value?,player-994,player
How many assists did Nicolas Seiwald record in the tournament?,player-994,player
How many matches did Alejandro Grimaldo play in the tournament?,player-731,player
What is Alejandro Grimaldo's current club and market value?,player-731,player
Did Alejandro Grimaldo receive any yellow or red cards during the tournament?,player-731,player
What is William Saliba's height and birth date?,player-849,player
How many appearances did William Saliba make in the World Cup 2026 tournament?,player-849,player
What is William Saliba's current club and market value?,player-849,player
What is Logan Tipene Rogerson's height and market value?,player-709,player
How many international caps does Logan Tipene Rogerson have for New Zealand?,player-709,player
Which club does Logan Tipene Rogerson play for?,player-709,player
What is Edson Omar Alvarez's current market value and which club does he play for?,player-4,player
How many international caps does the Mexico defender Edson Alvarez have?,player-4,player
"Did Edson Omar Alvarez start in any matches at the tournament, and what was his total playing time?",player-4,player
What are Oston Urunov's stats from the World Cup tournament?,player-1103,player
Which club does Oston Urunov play for and what is his market value?,player-1103,player
How many international caps does Oston Urunov have for Uzbekistan?,player-1103,player
What is Umarbek Eshmurodov's height and market value?,player-1107,player
How many caps does the Uzbekistan defender Umarbek Eshmurodov have?,player-1107,player
Which club does Umarbek Eshmurodov play for?,player-1107,player
What is Ehsan Hajisafi's market value and which club does he play for?,player-679,player
How many international caps does Ehsan Hajisafi have and what is his date of birth?,player-679,player
What were Ehsan Hajisafi's statistics for the FIFA World Cup 2026 tournament?,player-679,player
How many matches did Nicolás Tagliafico play in the World Cup 2026?,player-939,player
What is Nicolás Tagliafico's current club and market value?,player-939,player
How tall is Nicolás Tagliafico and how many international caps does he have?,player-939,player
